,id_поста,text_tokens,text_length,preprocessed_comments
131,15016,студент бизнес информатика приступить готовый готовый ваш контрольный фраза фтмить хороший факультет мегабаттл мегабаттл доводиться бывать ягодный мегабаттл мегабаттл держать ягодный мегабаттл мегабаттл исполнять обязанность держать чайка мегабаттл мегабаттл стартап стартап чувствовать ида тусить факультет стартап стартап учить придумывать шутка панчлайна стартап стартап жаждать зарисоваться факультатив стартап стартап сниться запись секция стартап стартап чувствовать запускать свой бизнес стартап стартап чувствовать ваш образовательный программа хватать стартап стартап мегабаттл стартап мегабаттл повторить стартап мегабаттл стартап мегабаттл стартап мегабаттл стартап мегабаттл,78,"[('прекрасно', 1), ('', 0), ('', 0), ('бизнес', 1), ('пояснительный бригада', 2)]"
132,15005,,0,"[('лето сидеть хах инфобез клоун чета смешно', 7), ('наглость', 1)]"
133,14998,,0,"[('лаба защищать показывать списать', 4), ('', 0)]"
134,14992,,0,"[('думать обман айфон забрать далёкий верить', 6), ('крик', 1), ('', 0), ('ребята забыть', 2), ('заскамлен', 1), ('розыгрыш место бакалавриат', 3)]"
135,14991,,0,"[('', 0)]"
136,14980,,0,"[('тип отопление', 2), ('покрасить покрасить ядерный цвет глаз рябить отопление нормальный сделать забыть', 10), ('димона улица большой нуль вс нормально', 6), ('', 0)]"
137,14975,,0,"[('', 0)]"
138,14968,,0,"[('рациональный объяснение почему', 3), ('метро', 1)]"
139,14957,молодой одиннадцатиклассник прибегать школа свой девушка кричать выпустить школа поступать итмый итмый знать итмый давать пощёчина прогонять изумлённый выпускник приходить домой говорить мать мама вернуться ранний поступать итмый сын итмый давать пощёчина прогонять обалдеть школяр выходить улица подходить первый попавшимуся бомж говорить бутылка спирт рассказать итмый держать давать пощёчина уходить бедолага вспоминать окраина ленобласть жить пропить сторчавшийся кореш который повидать жизнь наверняка знать итмый вбегать барак сидеть ширнуться крокодил протянуть нога выход потягивать палёный водка дружище кричать знать итмый ханурик блаженно поч сываться пол отставлять бутылка говорить итмый итмый отчисляться,90,"[('прибежать сначала свой парень вс', 5), ('дилижанс', 1), ('весьма некачественный адаптация мем', 4), ('горный украсть ясно', 3)]"
140,14936,,0,"[('примерно начинать понимать', 3), ('мочь лого синий вафля изобразить', 5), ('ч м прикол', 3), ('типо место столько желать', 4), ('прикол красный весь', 3), ('женщина весь вс нужный', 4)]"
141,14866,город вызывать студент итмый большой весь агрессия выборг,8,"[('геленджик', 1), ('деревня', 1), ('хахахахахаххахахахахаххахах', 1), ('гатчина судить весь должный вызывать маленький весь', 7), ('ахахахахаххахпзпхахахахаа', 1), ('голос ахахахахахах', 2), ('почему', 1), ('питер', 1)]"
142,14846,проходная гк утром,3,"[('лайк вход кронверкский круто', 4), ('прич м должный идти корпус', 5), ('оставить вход кронва гардероб', 4), ('пара биржа', 2), ('биржа корпус который слышать первак социальный контакт лаба', 8)]"
143,14842,свет последний событие,3,[]
144,14839,,0,[]
145,14829,,0,[]
146,14825,,0,"[('гений современность отец русский философия', 5)]"
147,14822,вс стать выбирать выбрать кой почему почему мочь почему псж идея,11,"[('выбрать псж выбирать вообще', 4), ('пикача выбирать', 2), ('рекомендовать дело знать универ заниматься псж жизнь факт плохой псж', 10), ('изначально голова подобный смочь выразить целиком', 6)]"
148,14817,сервер итмый упасть,3,"[('', 0), ('', 0)]"
149,14805,взгляд будущее,2,"[('вставить', 1), ('предупреждение', 1)]"
150,14798,,0,"[('база политех трап гачитуса', 4), ('мммм стик пак дарить оригинал', 5), ('видеть синергия факультет киберспорт', 4), ('лицо фановый политех требовать крепкий мужской извинение', 7)]"
151,14797,,0,[]
152,14784,,0,"[('', 0)]"
153,14778,,0,"[('выбрать удобный расписание вечер обнулиться место', 6)]"
